id,created_at,passed,failure_reason,failure_message,face_score,face_score_percent,face_score_threshold,started_at,completed_at,duration_ms,summary_bucket,summary_path,summary_bytes,summary_width,summary_height,occlusion_check,platform,app_version,device_model,camera_resolution,face_check_enabled,hand_check_enabled,test_case,tester_name,group_id,sequence,hand_count,eye_combined
566734b7-3608-4764-ab70-2661bcbfddc8,2026-05-12 02:44:03.682222+00,True,,,0.961647,96.1647,,2026-05-12 02:43:52.152452+00,2026-05-12 02:43:57.464045+00,5312,liveness-summaries,https://iiyqzqlrbckdxdpjnyth.supabase.co/storage/v1/object/public/liveness-summaries/frames/dd21cfcb-b6cf-440d-a74b-a9a258498c06/6.jpg,76288,480,640,"{'left': {'score': 0, 'std_dev': 22.104168506272387, 'lum_ratio': 0.8089026651783215, 'saturation': 109.82020380623516}, 'right': {'score': 0, 'std_dev': 29.0095132957507, 'lum_ratio': 0.832531480859394, 'saturation': 100.07327524930949}, 'occluded': False, 'evaluated': True, 'combined_score': 0, 'reference_luminance': 121.88305215053684}",ios,1.0.0+1,"iPhone18,3",,,,1. หน้าตรง,ปุ๊,dd21cfcb-b6cf-440d-a74b-a9a258498c06,6,0,
c6d6dfe0-7720-4d1c-bd07-7165b7efa8c2,2026-05-12 02:44:03.682222+00,True,,,0.965796,96.5796,,2026-05-12 02:43:52.152452+00,2026-05-12 02:43:57.464045+00,5312,liveness-summaries,https://iiyqzqlrbckdxdpjnyth.supabase.co/storage/v1/object/public/liveness-summaries/frames/dd21cfcb-b6cf-440d-a74b-a9a258498c06/7.jpg,77775,480,640,"{'left': {'score': 0, 'std_dev': 21.450112484167832, 'lum_ratio': 0.8034392958317444, 'saturation': 111.92347514068655}, 'right': {'score': 0, 'std_dev': 29.641144125146834, 'lum_ratio': 0.8462882158355987, 'saturation': 102.36077889804152}, 'occluded': False, 'evaluated': True, 'combined_score': 0, 'reference_luminance': 123.29748369565247}",ios,1.0.0+1,"iPhone18,3",,,,1. หน้าตรง,ปุ๊,dd21cfcb-b6cf-440d-a74b-a9a258498c06,7,0,
02588cf7-1a68-4ed1-ae4a-0d41e1e08a4b,2026-05-12 02:44:03.682222+00,True,,,0.963875,96.3875,,2026-05-12 02:43:52.152452+00,2026-05-12 02:43:57.464045+00,5312,liveness-summaries,https://iiyqzqlrbckdxdpjnyth.supabase.co/storage/v1/object/public/liveness-summaries/frames/dd21cfcb-b6cf-440d-a74b-a9a258498c06/4.jpg,71429,480,640,"{'left': {'score': 0, 'std_dev': 21.14553282763476, 'lum_ratio': 0.822517707195601, 'saturation': 111.77187723383857}, 'right': {'score': 0, 'std_dev': 30.445115386708434, 'lum_ratio': 0.9008317142870491, 'saturation': 100.6406188289372}, 'occluded': False, 'evaluated': True, 'combined_score': 0, 'reference_luminance': 115.76333222299989}",ios,1.0.0+1,"iPhone18,3",,,,1. หน้าตรง,ปุ๊,dd21cfcb-b6cf-440d-a74b-a9a258498c06,4,0,
32303cf2-59e4-41f2-b6cd-2ad888c6a8e7,2026-05-12 02:44:03.682222+00,True,,,0.958687,95.8687,,2026-05-12 02:43:52.152452+00,2026-05-12 02:43:57.464045+00,5312,liveness-summaries,https://iiyqzqlrbckdxdpjnyth.supabase.co/storage/v1/object/public/liveness-summaries/frames/dd21cfcb-b6cf-440d-a74b-a9a258498c06/8.jpg,80650,480,640,"{'left': {'score': 0, 'std_dev': 22.458537108671763, 'lum_ratio': 0.8086349053757904, 'saturation': 114.86751321465638}, 'right': {'score': 0, 'std_dev': 30.55111819138067, 'lum_ratio': 0.8496132036730866, 'saturation': 103.20741386849936}, 'occluded': False, 'evaluated': True, 'combined_score': 0, 'reference_luminance': 124.74061650815356}",ios,1.0.0+1,"iPhone18,3",,,,1. หน้าตรง,ปุ๊,dd21cfcb-b6cf-440d-a74b-a9a258498c06,8,0,
831c04bc-81d9-48fe-b83d-558433dab559,2026-05-12 02:44:03.682222+00,True,,,0.947195,94.7195,,2026-05-12 02:43:52.152452+00,2026-05-12 02:43:57.464045+00,5312,liveness-summaries,https://iiyqzqlrbckdxdpjnyth.supabase.co/storage/v1/object/public/liveness-summaries/frames/dd21cfcb-b6cf-440d-a74b-a9a258498c06/9.jpg,84155,480,640,"{'left': {'score': 0, 'std_dev': 23.21971084883944, 'lum_ratio': 0.809625457596278, 'saturation': 117.55059720244877}, 'right': {'score': 0, 'std_dev': 30.5214341707578, 'lum_ratio': 0.8432260499016699, 'saturation': 105.74608820098923}, 'occluded': False, 'evaluated': True, 'combined_score': 0, 'reference_luminance': 126.27913077445793}",ios,1.0.0+1,"iPhone18,3",,,,1. หน้าตรง,ปุ๊,dd21cfcb-b6cf-440d-a74b-a9a258498c06,9,0,
b13eb418-bbe1-48bc-8b6b-890f3a402a17,2026-05-12 02:44:03.682222+00,True,,,0.954174,95.4174,,2026-05-12 02:43:52.152452+00,2026-05-12 02:43:57.464045+00,5312,liveness-summaries,https://iiyqzqlrbckdxdpjnyth.supabase.co/storage/v1/object/public/liveness-summaries/frames/dd21cfcb-b6cf-440d-a74b-a9a258498c06/5.jpg,72333,480,640,"{'left': {'score': 0, 'std_dev': 22.251680266315578, 'lum_ratio': 0.826404818007391, 'saturation': 112.33663787729347}, 'right': {'score': 0, 'std_dev': 30.295504299757987, 'lum_ratio': 0.888388872328488, 'saturation': 100.6797203594088}, 'occluded': False, 'evaluated': True, 'combined_score': 0, 'reference_luminance': 117.7803458976153}",ios,1.0.0+1,"iPhone18,3",,,,1. หน้าตรง,ปุ๊,dd21cfcb-b6cf-440d-a74b-a9a258498c06,5,0,
3a316961-4c18-4704-8622-2b93b25504dc,2026-05-12 02:44:03.682222+00,True,,,0.961748,96.1748,,2026-05-12 02:43:52.152452+00,2026-05-12 02:43:57.464045+00,5312,liveness-summaries,https://iiyqzqlrbckdxdpjnyth.supabase.co/storage/v1/object/public/liveness-summaries/frames/dd21cfcb-b6cf-440d-a74b-a9a258498c06/0.jpg,75282,480,640,"{'left': {'score': 0, 'std_dev': 21.717605304249314, 'lum_ratio': 0.8340138808207039, 'saturation': 113.27328390713461}, 'right': {'score': 0, 'std_dev': 30.629348850399722, 'lum_ratio': 0.9120270419197354, 'saturation': 104.65838691599794}, 'occluded': False, 'evaluated': True, 'combined_score': 0, 'reference_luminance': 100.35012438625088}",ios,1.0.0+1,"iPhone18,3",,,,1. หน้าตรง,ปุ๊,dd21cfcb-b6cf-440d-a74b-a9a258498c06,0,0,
96804fbb-cb0d-49af-80e3-09b2638dd9ed,2026-05-12 02:44:03.682222+00,True,,,0.961163,96.1163,,2026-05-12 02:43:52.152452+00,2026-05-12 02:43:57.464045+00,5312,liveness-summaries,https://iiyqzqlrbckdxdpjnyth.supabase.co/storage/v1/object/public/liveness-summaries/frames/dd21cfcb-b6cf-440d-a74b-a9a258498c06/1.jpg,78351,480,640,"{'left': {'score': 0, 'std_dev': 21.60024170963646, 'lum_ratio': 0.825775184436362, 'saturation': 110.07722094176735}, 'right': {'score': 0, 'std_dev': 30.825751928555082, 'lum_ratio': 0.8915042961621745, 'saturation': 99.3989373565994}, 'occluded': False, 'evaluated': True, 'combined_score': 0, 'reference_luminance': 105.83381734860762}",ios,1.0.0+1,"iPhone18,3",,,,1. หน้าตรง,ปุ๊,dd21cfcb-b6cf-440d-a74b-a9a258498c06,1,0,
dfd85738-d8d4-4cdd-9252-71801fa6e098,2026-05-12 02:44:03.682222+00,True,,,0.920801,92.0801,,2026-05-12 02:43:52.152452+00,2026-05-12 02:43:57.464045+00,5312,liveness-summaries,https://iiyqzqlrbckdxdpjnyth.supabase.co/storage/v1/object/public/liveness-summaries/frames/dd21cfcb-b6cf-440d-a74b-a9a258498c06/2.jpg,71521,480,640,"{'left': {'score': 0, 'std_dev': 20.390948845750607, 'lum_ratio': 0.8252431134161605, 'saturation': 112.69458836687896}, 'right': {'score': 0, 'std_dev': 30.537309378738207, 'lum_ratio': 0.9133042170661172, 'saturation': 100.43462249201337}, 'occluded': False, 'evaluated': True, 'combined_score': 0, 'reference_luminance': 109.77827867383348}",ios,1.0.0+1,"iPhone18,3",,,,1. หน้าตรง,ปุ๊,dd21cfcb-b6cf-440d-a74b-a9a258498c06,2,0,
cc0090ad-9401-4795-97c3-3e7325f97fe9,2026-05-12 02:44:03.682222+00,True,,,0.936323,93.6323,,2026-05-12 02:43:52.152452+00,2026-05-12 02:43:57.464045+00,5312,liveness-summaries,https://iiyqzqlrbckdxdpjnyth.supabase.co/storage/v1/object/public/liveness-summaries/frames/dd21cfcb-b6cf-440d-a74b-a9a258498c06/3.jpg,72400,480,640,"{'left': {'score': 0, 'std_dev': 21.445000787137904, 'lum_ratio': 0.8250544866725592, 'saturation': 112.42630265260573}, 'right': {'score': 0, 'std_dev': 30.756411005544525, 'lum_ratio': 0.9005754943470796, 'saturation': 99.97116332617553}, 'occluded': False, 'evaluated': True, 'combined_score': 0, 'reference_luminance': 111.5998767025069}",ios,1.0.0+1,"iPhone18,3",,,,1. หน้าตรง,ปุ๊,dd21cfcb-b6cf-440d-a74b-a9a258498c06,3,0,
